raceId,constructorId,team_points,team_wins,team_standing_position
280,1,48,3,2
468,1,10,0,2
351,1,359,5,2
183,1,72,4,2
294,1,26,1,2
303,1,89,4,2
304,1,99,5,2
874,1,283,5,2
356,1,6,0,2
354,1,421,5,2
115,1,76,2,2
276,1,26,2,2
279,1,44,3,2
852,1,295,4,2
352,1,381,5,2
863,1,92,1,2
1032,1,39,0,2
79,1,63,3,2
302,1,83,4,2
419,1,96,4,2
288,1,84,5,2
290,1,9,0,2
389,1,16,1,2
350,1,347,5,2
113,1,63,2,2
176,1,10,1,2
406,1,18,1,2
574,1,70,6,2
339,1,66,1,2
849,1,218,2,2
295,1,36,2,2
857,1,442,5,2
89,1,182,10,2
172,1,143,7,2
470,1,20,1,2
571,1,52,4,2
867,1,137,2,2
162,1,42,2,2
872,1,243,5,2
88,1,174,10,2
80,1,71,3,2
145,1,32,1,2
313,1,70,4,2
848,1,206,2,2
1133,1,338,2,2
396,1,49,2,2
397,1,50,2,2
414,1,63,2,2
348,1,304,4,2
173,1,153,7,2
189,1,114,6,2
482,1,69,4,2
854,1,353,4,2
299,1,58,3,2
403,1,76,3,2
411,1,56,2,2
628,1,35,1,2
337,1,21,0,2
843,1,85,1,2
870,1,193,3,2
1135,1,404,3,2
409,1,43,2,2
578,1,16,1,2
149,1,53,2,2
177,1,16,1,2
33,1,135,5,2
418,1,87,3,2
455,1,21,1,2
581,1,26.5,2,2
28,1,100,5,2
147,1,44,2,2
150,1,56,2,2
395,1,45,2,2
415,1,72,3,2
429,1,55,4,2
601,1,55,3,2
620,1,6,0,2
148,1,48,2,2
399,1,62,3,2
428,1,46,3,2
858,1,482,6,2
84,1,121,6,2
144,1,30,1,2
412,1,60,2,2
579,1,20.5,2,2
850,1,243,3,2
30,1,119,5,2
174,1,162,7,2
179,1,36,2,2
190,1,124,7,2
393,1,39,2,2
479,1,56,4,2
353,1,399,5,2
31,1,129,5,2
77,1,53,2,2
178,1,20,1,2
281,1,50,3,2
165,1,66,3,2
289,1,6,0,2
296,1,36,2,2
56,1,33,0,2
81,1,87,4,2
859,1,497,6,2
35,1,151,6,2
142,1,11,0,2
185,1,90,5,2
410,1,47,2,2
430,1,70,5,2
452,1,4,0,2
563,1,18,1,2
209,1,19,1,2
629,1,39,1,2
318,1,116,6,2
841,1,26,0,2
851,1,280,4,2
853,1,325,4,2
146,1,42,2,2
164,1,63,3,2
630,1,45,1,2
871,1,218,4,2
278,1,44,3,2
478,1,54,4,2
845,1,138,1,2
846,1,161,1,2
