raceId,driverId,total_points,total_wins,standing_position
1124,852,7,0,11
478,95,7,0,13
963,825,7,0,16
746,360,8,1,1
778,611,8,1,2
818,526,8,1,2
766,427,8,1,3
592,306,8,0,6
201,49,8,0,8
615,231,8,0,9
639,278,8,0,10
601,231,8,0,12
31,6,8,0,15
809,647,9,1,1
802,427,9,0,2
645,304,9,0,4
646,358,9,1,4
458,105,9,1,8
673,360,9,1,8
663,358,9,0,9
696,375,9,1,9
1140,842,9,0,16
90,30,10,1,1
240,30,10,1,1
1,18,10,1,1
794,579,10,1,2
770,501,10,0,4
530,182,10,0,5
337,3,10,0,5
210,57,10,0,7
426,137,10,1,7
686,328,10,0,7
251,87,10,0,9
287,87,10,0,9
553,221,10,0,9
934,830,10,0,14
980,4,10,0,15
701,328,11,0,3
55,18,11,0,5
839,647,11,0,5
296,55,11,0,6
900,4,12,0,4
365,145,12,0,6
813,642,12,0,6
370,137,12,0,8
990,817,12,0,8
655,224,12,1,10
68,15,12,0,13
13,2,12,0,13
1134,817,12,0,13
425,140,13,0,4
724,289,13,1,4
443,118,13,0,6
511,173,13,0,7
26,4,13,0,9
449,95,13,0,9
998,844,13,0,14
894,818,13,0,15
275,117,14,1,2
374,77,14,0,2
775,581,14,1,5
223,65,15,0,10
1111,848,15,0,13
20,2,16,0,2
580,250,16,1,2
169,23,16,0,6
1084,842,16,0,13
702,328,17,0,3
703,341,17,0,4
820,647,18,2,1
880,4,18,0,2
446,137,18,2,7
977,807,18,0,12
957,4,18,0,14
649,328,19,1,3
216,49,19,1,5
570,187,19,1,5
651,328,19,1,5
665,289,19,1,5
1025,840,19,0,16
650,304,20,0,3
221,21,20,0,7
522,199,20,0,7
559,255,20,1,8
311,119,22,1,3
533,199,22,2,4
862,815,22,0,7
635,328,24,2,1
903,822,24,0,7
846,13,24,0,8
1078,839,24,0,9
16,10,24,0,10
163,30,46,4,1
201,57,76,6,1
204,57,80,6,1
216,30,53,3,1
217,30,56,3,1
314,102,61,5,1
317,102,83,6,1
597,224,31,2,1
608,224,31,3,1
636,328,33,3,1
763,356,31,2,1
944,1,363,10,1
1126,830,136,4,1
1128,830,169,5,1
119,31,65,2,2
300,119,44,0,2
412,117,43,2,2
573,231,56,5,2
628,328,27,2,2
705,289,30,1,2
901,1,25,1,2
1027,822,289,3,2
1039,822,135,1,2
1128,844,138,1,2
384,77,37,1,3
402,102,57,2,3
409,102,27,1,3
426,173,26,1,3
735,373,21,2,3
796,427,11.33,1,3
762,475,17.5,1,3
955,20,96,0,3
965,817,227,1,3
1024,844,200,2,3
1125,844,76,0,3
1126,844,98,0,3
140,23,42,1,4
364,119,25,0,4
535,221,23,1,4
617,238,43,3,4
876,17,167,2,4
930,8,52,0,4
936,822,77,0,4
1000,822,132,0,4
1025,830,212,2,4
1061,822,108,0,4
1112,1,164,0,4
101,4,39,0,5
239,57,31,0,5
370,123,28,1,5
509,163,29,2,5
573,223,29,1,5
589,223,25,1,5
972,830,35,0,5
1007,830,216,2,5
1060,822,92,0,5
1093,832,202,1,5
1128,815,107,0,5
255,77,31,0,6
348,13,97,0,6
354,13,143,0,6
874,18,131,2,6
904,807,37,0,6
1001,817,118,2,6
1084,1,109,0,6
32,4,38,1,7
447,177,20.5,1,7
912,18,72,0,7
1120,832,200,1,7
52,21,21,0,8
852,30,42,0,8
906,822,40,0,8
1042,848,64,0,8
1105,840,35,0,8
88,18,36,0,9
15,4,26,0,9
854,808,34,0,9
908,825,35,0,9
910,13,40,0,9
960,807,45,0,9
986,832,54,0,9
1018,8,21,0,9
877,815,66,0,10
998,832,28,0,10
1041,842,53,1,10
1062,839,39,1,10
965,13,49,0,11
1006,839,49,0,11
1116,840,53,0,11
1007,842,29,0,14
560,223,0,0,7
576,235,0,0,8
784,806,0,0,8
388,157,0,0,9
405,123,0,0,11
543,237,0,0,11
900,16,0,0,11
159,37,0,0,12
656,345,0,0,12
37,22,0,0,13
258,94,0,0,13
644,346,0,0,13
54,22,0,0,14
91,44,0,0,14
160,50,0,0,14
177,63,0,0,14
196,23,0,0,14
544,252,0,0,14
691,346,0,0,14
1053,8,0,0,14
406,173,0,0,15
452,195,0,0,15
454,118,0,0,15
469,196,0,0,15
592,307,0,0,15
607,330,0,0,15
705,380,0,0,15
880,824,0,0,15
111,43,0,0,16
257,50,0,0,16
36,16,0,0,17
128,37,0,0,17
183,63,0,0,17
388,118,0,0,17
484,217,0,0,17
543,253,0,0,17
545,239,0,0,17
576,207,0,0,17
656,235,0,0,17
680,346,0,0,17
901,820,0,0,17
1034,849,0,0,17
40,18,0,0,18
145,18,0,0,18
171,65,0,0,18
199,73,0,0,18
254,94,0,0,18
277,55,0,0,18
278,69,0,0,18
293,109,0,0,18
453,194,0,0,18
664,351,0,0,18
735,418,0,0,18
742,479,0,0,18
768,528,0,0,18
345,37,0,0,18
347,37,0,0,18
927,813,0,0,18
971,838,0,0,18
1036,8,0,0,18
46,26,0,0,19
61,27,0,0,19
115,50,0,0,19
116,50,0,0,19
130,37,0,0,19
190,70,0,0,19
10,16,0,0,19
387,133,0,0,19
488,197,0,0,19
546,246,0,0,19
578,172,0,0,19
606,250,0,0,19
669,235,0,0,19
766,479,0,0,19
844,816,0,0,19
900,1,0,0,19
934,833,0,0,19
1015,847,0,0,19
1134,855,0,0,19
60,33,0,0,20
67,26,0,0,20
102,32,0,0,20
130,11,0,0,20
160,60,0,0,20
163,55,0,0,20
302,81,0,0,20
331,148,0,0,20
427,119,0,0,20
501,223,0,0,20
592,265,0,0,20
598,312,0,0,20
615,329,0,0,20
712,429,0,0,20
890,819,0,0,20
969,154,0,0,20
980,828,0,0,20
991,843,0,0,20
1030,847,0,0,20
1054,849,0,0,20
1133,858,0,0,20
34,11,0,0,21
130,59,0,0,21
