raceId,driverId,constructorId,grid,positionOrder,points,statusId
raceId,driverId,constructorId,,,0,
620,328,25,2,1,9,1
706,328,66,3,1,9,1
609,328,25,6,1,9,1
644,328,37,3,1,9,1
677,328,196,2,1,9,1
638,328,25,1,1,9,1
607,328,25,16,1,9,1
657,328,196,4,1,9,1
724,341,6,2,1,9,1
714,341,6,1,1,9,1
687,341,11,9,1,9,1
691,341,6,1,1,9,1
716,341,6,1,1,9,1
698,341,167,1,1,9,1
679,345,167,4,1,9,1
646,345,66,6,1,9,1
673,346,180,4,1,9,1
639,346,66,1,1,9,1
758,347,66,1,1,8,1
221,35,3,2,1,10,1
208,35,3,1,1,10,1
220,35,3,1,1,10,1
217,35,3,2,1,10,1
215,35,3,1,1,10,1
235,35,3,3,1,10,1
212,35,3,1,1,10,1
233,35,3,2,1,10,1
227,35,3,2,1,10,1
209,35,3,1,1,10,1
238,35,3,2,1,10,1
760,356,170,1,1,8,1
756,356,170,3,1,9,1
694,356,191,1,1,9,1
752,356,170,1,1,8,1
686,356,191,7,1,9,1
750,356,170,1,1,8,1
749,356,170,2,1,8,1
751,356,170,1,1,8,1
643,356,34,3,1,9,1
693,356,191,1,1,9,1
695,356,191,5,1,9,1
692,356,191,4,1,9,1
683,356,191,2,1,9,1
753,356,170,3,1,8,1
648,358,32,6,1,9,1
647,358,32,1,1,9,1
650,358,32,2,1,9,1
649,358,32,1,1,9,1
645,358,32,8,1,9,1
665,358,180,1,1,9,1
670,360,187,6,1,9,1
730,360,170,3,1,9,1
746,360,170,13,1,8,1
764,360,170,10,1,8,1
732,364,95,6,1,9,1
712,364,183,2,1,9,1
682,364,190,2,1,9,1
718,364,183,2,1,9,1
710,373,172,2,1,9,1
702,373,172,1,1,9,1
733,373,172,1,1,9,1
688,373,180,2,1,9,1
703,373,172,1,1,9,1
722,373,172,1,1,9,1
699,373,172,1,1,9,1
713,373,172,1,1,9,1
721,373,172,1,1,9,1
701,373,172,2,1,9,1
684,373,180,1,1,9,1
705,373,172,1,1,9,1
731,373,172,13,1,9,1
689,373,180,1,1,9,1
728,373,172,1,1,9,1
667,373,180,1,1,9,1
681,373,180,8,1,9,1
725,373,172,3,1,9,1
736,373,172,1,1,9,1
723,373,172,1,1,9,1
697,373,176,2,1,9,1
727,373,172,1,1,9,1
704,373,172,2,1,9,1
720,373,172,8,1,9,1
711,373,172,6,1,9,1
696,375,6,2,1,9,1
715,385,6,7,1,9,1
708,386,11,3,1,9,1
741,394,6,12,1,9,1
89,4,4,1,1,10,1
55,4,4,3,1,10,1
60,4,4,1,1,10,1
48,4,1,1,1,10,1
882,4,6,3,1,25,1
350,4,6,1,1,25,1
347,4,6,2,1,25,1
353,4,6,3,1,25,1
40,4,1,1,1,10,1
32,4,4,15,1,10,1
351,4,6,1,1,25,1
37,4,1,2,1,10,1
45,4,1,2,1,10,1
861,4,6,8,1,25,1
69,4,4,5,1,10,1
849,4,6,3,1,25,1
33,4,4,4,1,10,1
72,4,4,1,1,10,1
61,4,4,1,1,10,1
884,4,6,5,1,25,1
337,4,6,3,1,25,1
58,4,4,1,1,10,1
82,4,4,3,1,10,1
80,4,4,1,1,10,1
59,4,4,1,1,10,1
53,4,4,4,1,10,1
74,4,4,2,1,10,1
120,4,4,1,1,10,1
867,4,6,11,1,25,1
869,4,6,1,1,25,1
77,4,4,6,1,10,1
73,4,4,1,1,10,1
744,403,6,4,1,9,1
754,403,6,1,1,8,1
740,403,6,1,1,9,1
745,404,172,8,1,9,1
793,427,6,9,1,8,1
766,427,87,5,1,8,1
229,44,27,14,1,10,1
757,449,107,6,1,8,1
762,475,170,1,1,9,1
743,475,172,3,1,9,1
738,475,172,1,1,9,1
773,475,118,1,1,8,1
755,475,32,1,1,8,1
791,475,105,6,1,9,1
765,475,87,7,1,8,1
797,475,131,1,1,9,1
763,475,170,1,1,8,1
775,475,118,2,1,9,1
785,475,105,2,1,8,1
780,475,118,3,1,5,1
783,475,118,2,1,8,1
767,475,118,2,1,9,1
747,475,32,1,1,8,1
782,475,118,2,1,9,1
742,476,6,4,1,9,1
739,476,6,2,1,9,1
772,479,118,2,1,8,1
761,479,6,1,1,9,1
780,479,118,3,1,4,1
774,479,118,2,1,8,1
769,479,118,5,1,8,1
759,479,6,1,1,8,1
210,49,3,2,1,10,1
181,49,17,5,1,10,1
187,49,17,2,1,10,1
803,498,6,2,1,8.14,1
829,498,6,1,1,8,1
28,5,1,2,1,10,1
748,509,107,2,1,8,1
768,525,108,7,1,8,1
818,526,114,7,1,8,1
245,55,6,5,1,10,1
